ensembl_gene_id	hgnc_symbol	gene_biotype	chromosome_name	start_position	end_position	gene_biotype
ENSG00000215405	GOLGA6L6	protein_coding	15	20737094	20747114	protein_coding
ENSG00000268343	""	protein_coding	15	21004687	21005367	protein_coding
ENSG00000230031	POTEB2	protein_coding	15	21040701	21071643	protein_coding
ENSG00000138593	SECISBP2L	protein_coding	15	49280673	49338760	protein_coding
ENSG00000268531	""	protein_coding	15	22011370	22012050	protein_coding
ENSG00000233917	POTEB	protein_coding	15	22051853	22083227	protein_coding
ENSG00000166157	TPTE	protein_coding	21	10906201	11029719	protein_coding
ENSG00000256715	""	protein_coding	21	14741931	14745386	protein_coding
ENSG00000166351	POTED	protein_coding	21	14982498	15013906	protein_coding
ENSG00000269011	""	protein_coding	21	15051621	15053459	protein_coding
ENSG00000168675	LDLRAD4	protein_coding	18	13217497	13652754	protein_coding
ENSG00000188992	LIPI	protein_coding	21	15481134	15583166	protein_coding
ENSG00000182974	OR4M2	protein_coding	15	22368478	22369561	protein_coding
ENSG00000183706	OR4N4	protein_coding	15	22382382	22383507	protein_coding
ENSG00000185272	RBM11	protein_coding	21	15588451	15600693	protein_coding
ENSG00000269182	""	protein_coding	15	22456895	22460351	protein_coding
ENSG00000155304	HSPA13	protein_coding	21	15743436	15755805	protein_coding
ENSG00000197414	GOLGA6L1	protein_coding	15	22736246	22746002	protein_coding
ENSG00000166200	COPS2	protein_coding	15	49398268	49447858	protein_coding
ENSG00000155307	SAMSN1	protein_coding	21	15857549	15955723	protein_coding
ENSG00000243440	""	protein_coding	21	15964251	16031142	protein_coding
ENSG00000180530	NRIP1	protein_coding	21	16333556	16437321	protein_coding
ENSG00000259458	""	protein_coding	15	62929371	62937490	protein_coding
ENSG00000153575	TUBGCP5	protein_coding	15	22833395	22873892	protein_coding
ENSG00000137824	RMDN3	protein_coding	15	41028082	41048049	protein_coding
ENSG00000137880	GCHFR	protein_coding	15	41056218	41059906	protein_coding
ENSG00000177150	FAM210A	protein_coding	18	13663346	13726662	protein_coding
ENSG00000104129	DNAJC17	protein_coding	15	41060067	41099675	protein_coding
ENSG00000155313	USP25	protein_coding	21	17102344	17252377	protein_coding
ENSG00000101638	ST8SIA5	protein_coding	18	44259081	44339220	protein_coding
ENSG00000232560	C21orf37	protein_coding	21	18811208	18821503	protein_coding
ENSG00000154639	CXADR	protein_coding	21	18884700	18965897	protein_coding
ENSG00000101654	RNMT	protein_coding	18	13726659	13764557	protein_coding
ENSG00000078043	PIAS2	protein_coding	18	44388353	44500123	protein_coding
ENSG00000156958	GALK2	protein_coding	15	49447853	49660066	protein_coding
ENSG00000154640	BTG3	protein_coding	21	18965971	18985265	protein_coding
ENSG00000188277	C15orf62	protein_coding	15	41062159	41064643	protein_coding
ENSG00000249139	EPPIN-WFDC6	protein_coding	20	44165625	44176065	protein_coding
ENSG00000158901	WFDC8	protein_coding	20	44179792	44207965	protein_coding
ENSG00000180205	WFDC9	protein_coding	20	44236578	44259907	protein_coding
ENSG00000154642	C21orf91	protein_coding	21	19161284	19191703	protein_coding
ENSG00000140416	TPM1	protein_coding	15	63334831	63364114	protein_coding
ENSG00000140577	CRTC3	protein_coding	15	91073157	91188577	protein_coding
ENSG00000166140	ZFYVE19	protein_coding	15	41099284	41106767	protein_coding
ENSG00000101138	CSTF1	protein_coding	20	54967427	54979518	protein_coding
ENSG00000154645	CHODL	protein_coding	21	19273580	19639690	protein_coding
ENSG00000058668	ATP2B4	protein_coding	1	203595689	203713209	protein_coding
ENSG00000143368	SF3B4	protein_coding	1	149895209	149900236	protein_coding
ENSG00000049089	COL9A2	protein_coding	1	40766159	40783488	protein_coding
ENSG00000122188	LAX1	protein_coding	1	203734304	203745361	protein_coding
ENSG00000179178	TMEM125	protein_coding	1	43735665	43739673	protein_coding
ENSG00000117419	ERI3	protein_coding	1	44686742	44820932	protein_coding
ENSG00000058673	ZC3H11A	protein_coding	1	203764782	203823252	protein_coding
ENSG00000253313	C1orf210	protein_coding	1	43747554	43751288	protein_coding
ENSG00000187942	LDLRAD2	protein_coding	1	22138758	22151714	protein_coding
ENSG00000066056	TIE1	protein_coding	1	43766664	43788779	protein_coding
ENSG00000159588	CCDC17	protein_coding	1	46085716	46089729	protein_coding
ENSG00000257315	ZBED6	protein_coding	1	203765437	203769686	protein_coding
ENSG00000182004	SNRPE	protein_coding	1	203830731	203839678	protein_coding
ENSG00000142798	HSPG2	protein_coding	1	22148738	22263790	protein_coding
ENSG00000014914	MTMR11	protein_coding	1	149900543	149908791	protein_coding
ENSG00000143842	SOX13	protein_coding	1	204042243	204096863	protein_coding
ENSG00000159592	GPBP1L1	protein_coding	1	46092976	46153785	protein_coding
ENSG00000143845	ETNK2	protein_coding	1	204100190	204121307	protein_coding
ENSG00000117400	MPL	protein_coding	1	43803478	43818443	protein_coding
ENSG00000187147	RNF220	protein_coding	1	44870866	45117396	protein_coding
ENSG00000159596	TMEM69	protein_coding	1	46152886	46160115	protein_coding
ENSG00000197429	IPP	protein_coding	1	46159996	46216322	protein_coding
ENSG00000084070	SMAP2	protein_coding	1	40810522	40888998	protein_coding
ENSG00000117399	CDC20	protein_coding	1	43824626	43828874	protein_coding
ENSG00000143839	REN	protein_coding	1	204123944	204135465	protein_coding
ENSG00000086015	MAST2	protein_coding	1	46252659	46501796	protein_coding
ENSG00000170498	KISS1	protein_coding	1	204159469	204165614	protein_coding
ENSG00000174567	GOLT1A	protein_coding	1	204167288	204183220	protein_coding
ENSG00000163113	OTUD7B	protein_coding	1	149909705	149982625	protein_coding
ENSG00000143850	PLEKHA6	protein_coding	1	204187979	204346793	protein_coding
ENSG00000066322	ELOVL1	protein_coding	1	43829068	43833696	protein_coding
ENSG00000158615	PPP1R15B	protein_coding	1	204372515	204380919	protein_coding
ENSG00000187801	ZFP69B	protein_coding	1	40915774	40929390	protein_coding
ENSG00000133056	PIK3C2B	protein_coding	1	204391756	204463852	protein_coding
ENSG00000187815	ZFP69	protein_coding	1	40942887	40962015	protein_coding
ENSG00000159479	MED8	protein_coding	1	43849588	43855479	protein_coding
ENSG00000164002	EXO5	protein_coding	1	40974413	40982228	protein_coding
ENSG00000117461	PIK3R3	protein_coding	1	46505812	46642160	protein_coding
ENSG00000126106	TMEM53	protein_coding	1	45100910	45140227	protein_coding
ENSG00000219073	CELA3B	protein_coding	1	22303514	22325135	protein_coding
ENSG00000136631	VPS45	protein_coding	1	150039369	150117505	protein_coding
ENSG00000117010	ZNF684	protein_coding	1	40997233	41013841	protein_coding
ENSG00000142789	CELA3A	protein_coding	1	22328149	22339032	protein_coding
ENSG00000117472	TSPAN1	protein_coding	1	46640745	46651630	protein_coding
ENSG00000198198	SZT2	protein_coding	1	43855553	43918321	protein_coding
ENSG00000198520	C1orf228	protein_coding	1	45140364	45191263	protein_coding
ENSG00000070831	CDC42	protein_coding	1	22379120	22419437	protein_coding
ENSG00000198625	MDM4	protein_coding	1	204485511	204542871	protein_coding
ENSG00000117016	RIMS3	protein_coding	1	41086351	41131329	protein_coding
ENSG00000085998	POMGNT1	protein_coding	1	46654354	46685977	protein_coding
ENSG00000170382	LRRN2	protein_coding	1	204586298	204654861	protein_coding
ENSG00000066136	NFYC	protein_coding	1	41157320	41237275	protein_coding
ENSG00000154727	GABPA	protein_coding	21	27106881	27144771	protein_coding
ENSG00000104142	VPS18	protein_coding	15	41186628	41196173	protein_coding
